case,test_name,partner,base_url,admin_username,admin_password,login_username,login_password
test_0002,Set service url,2362001-1,qakmstest.dev.kaltura.com,orifl@mailinator.com,Kaltura1!,Admin,123456
test_2109,Moodle - Preview all kinds of media from My Media and Gallery,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2104,Moodle - Delete through my media,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2105,Moodle - Delete through edit entry page,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2106,Moodle - Publish after upload,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2114,Moodle -My Media - Search by Name / Description / Tags,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2107,Moodle - Publish from my media (single and multiple),,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2108,Moodle - Publish From Entry Page,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2111,Moodle - Upload media from desktop,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2127,Moodle - Embed media in site blogs from my media,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2110,Moodle - View Collapsed Expanded Modes,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2116,Moodle - My Media - Sort Media,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2118,Moodle - My Media - Filter by media Type,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2117,Moodle - My Media - Filter Media View Different Statuses,,,pythonautomation1@mailinator.com,Kaltura1!,student,Kaltura1!
test_2119,Moodle - Edit Entry Metadata,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2120,Moodle - Edit Entry page - Disable comments,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2121,Moodle - Edit Entry page - Close discussion,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2123,Moodle - Entry page - Add captions And Search - remove caption,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2124,Moodle - Edit entry page - thumbnail tab,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2128,Moodle - Embed video resource from SR,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_954,Moodle - Publish from my media to shared repository,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2397,Moodle - Embed media in site blogs from media gallery,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2398,Moodle - upload and Embed media in kaltura video resource,,,pythonautomation1@mailinator.com,Kaltura1!,automoodle,Kaltura1!
test_2284,Canvas - Preview all kinds of media from My Media and Gallery,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!
test_2276,Canvas - Edit entry page - thumbnail tab,,,pythonautomation1@mailinator.com,Kaltura1!,autocanvas@mailinator.com,Kaltura1!
